iter	Passed	Remaining
428	33297	5510
429	33373	5432
430	33453	5355
431	33525	5277
432	33597	5198
433	33673	5120
434	33740	5041
435	33810	4962
436	33887	4885
437	33973	4809
438	34071	4734
439	34172	4659
440	34242	4581
441	34307	4501
442	34374	4422
443	34442	4344
444	34508	4265
445	34577	4186
446	34648	4108
447	34720	4030
448	34794	3952
449	34868	3874
450	34939	3796
451	35015	3718
452	35103	3642
453	35164	3562
454	35238	3485
455	35313	3407
456	35382	3329
457	35448	3250
458	35511	3172
459	35582	3094
460	35655	3016
461	35716	2937
462	35789	2860
463	35867	2782
464	35943	2705
465	36020	2628
466	36103	2551
467	36182	2474
468	36262	2396
469	36327	2318
470	36405	2241
471	36483	2164
472	36561	2087
473	36638	2009
474	36722	1932
475	36789	1854
476	36861	1777
477	36931	1699
478	37012	1622
479	37094	1545
480	37163	1468
481	37231	1390
482	37305	1313
483	37390	1236
484	37465	1158
485	37542	1081
486	37618	1004
487	37688	926
488	37757	849
489	37826	771
490	37890	694
491	37966	617
492	38046	540
493	38132	463
494	38213	385
495	38280	308
496	38364	231
497	38433	154
498	38500	77
499	38575	0
