iter	Logloss
410	0.2346598883
411	0.2343117394
412	0.2341485985
413	0.2339164631
414	0.2337352783
415	0.2336596947
416	0.2334803085
417	0.2333869633
418	0.2330752169
419	0.2329406537
420	0.2328111917
421	0.232611899
422	0.2323901439
423	0.2322945659
424	0.2320818874
425	0.2319498661
426	0.2316475983
427	0.2313803322
428	0.2311596813
429	0.2309717432
430	0.2307979598
431	0.2306693679
432	0.2305380435
433	0.2302650385
434	0.2301572459
435	0.2300298571
436	0.2298178504
437	0.2295712025
438	0.2294155706
439	0.2289883595
440	0.2288303035
441	0.2286584156
442	0.2283809256
443	0.2281587648
444	0.2275873601
445	0.2274354133
446	0.2273498805
447	0.2272144545
448	0.2270797297
449	0.226841418
450	0.2266752116
451	0.2265548616
452	0.2262769576
453	0.2260410689
454	0.2259392712
455	0.225806395
456	0.2256542705
457	0.225367075
458	0.2252522225
459	0.225225043
460	0.2248560917
461	0.2248113648
462	0.2246393164
463	0.2246022174
464	0.224436817
465	0.2242370602
466	0.2241287787
467	0.2239451095
468	0.2237466343
469	0.2235888378
470	0.2234607821
471	0.2231640025
472	0.2228318282
473	0.2225490966
474	0.2223796265
475	0.222134912
476	0.2219535908
477	0.2217326321
478	0.2214801973
479	0.2212679083
480	0.2210220412
481	0.2208012649
482	0.2206057213
483	0.2203631209
484	0.220299599
485	0.2201437352
486	0.2197865888
487	0.2196457629
488	0.2193259424
489	0.2190890668
490	0.2189357677
491	0.2187204804
492	0.2185751376
493	0.2183565819
494	0.2181890196
495	0.2180170312
496	0.2174762661
497	0.2173177146
498	0.2171325396
499	0.2168714529
